Product code,Station number,Year,Month,Rainfall,Quality
IDCJAC0001,23034,1978,12,16.4,Y
IDCJAC0001,23034,1979,1,29.4,Y
IDCJAC0001,23034,1979,2,11.8,Y
IDCJAC0001,23034,1979,3,11.4,Y
IDCJAC0001,23034,1979,4,37.6,Y
IDCJAC0001,23034,1979,5,53.6,Y
IDCJAC0001,23034,1979,6,16,Y
IDCJAC0001,23034,1979,7,46.4,Y
IDCJAC0001,23034,1979,8,89.6,Y
IDCJAC0001,23034,1979,9,100.6,Y
IDCJAC0001,23034,1979,10,44.4,Y
IDCJAC0001,23034,1979,11,37.4,Y
IDCJAC0001,23034,1979,12,33.8,Y
IDCJAC0001,23034,1980,1,2.6,Y
IDCJAC0001,23034,1980,2,0.4,Y
IDCJAC0001,23034,1980,3,1.8,Y
IDCJAC0001,23034,1980,4,48.2,Y
IDCJAC0001,23034,1980,5,37.2,Y
IDCJAC0001,23034,1980,6,77.4,Y
IDCJAC0001,23034,1980,7,63.8,Y
IDCJAC0001,23034,1980,8,17.2,Y
IDCJAC0001,23034,1980,9,18,Y
IDCJAC0001,23034,1980,10,89.4,Y
IDCJAC0001,23034,1980,11,29.2,Y
IDCJAC0001,23034,1980,12,29.4,Y
IDCJAC0001,23034,1981,1,20.2,Y
IDCJAC0001,23034,1981,2,3.2,Y
IDCJAC0001,23034,1981,3,42.2,Y
IDCJAC0001,23034,1981,4,1.6,Y
IDCJAC0001,23034,1981,5,46.8,Y
IDCJAC0001,23034,1981,6,137.8,Y
IDCJAC0001,23034,1981,7,95.8,Y
IDCJAC0001,23034,1981,8,82,Y
IDCJAC0001,23034,1981,9,29,Y
IDCJAC0001,23034,1981,10,33.6,Y
IDCJAC0001,23034,1981,11,30.4,Y
IDCJAC0001,23034,1981,12,14.6,Y
IDCJAC0001,23034,1982,1,22.6,Y
IDCJAC0001,23034,1982,2,5.8,Y
IDCJAC0001,23034,1982,3,46.8,Y
IDCJAC0001,23034,1982,4,56.4,Y
IDCJAC0001,23034,1982,5,38.6,Y
IDCJAC0001,23034,1982,6,41.6,Y
IDCJAC0001,23034,1982,7,18.2,Y
IDCJAC0001,23034,1982,8,17.2,Y
IDCJAC0001,23034,1982,9,20,Y
IDCJAC0001,23034,1982,10,10,Y
IDCJAC0001,23034,1982,11,1,Y
IDCJAC0001,23034,1982,12,8,Y
IDCJAC0001,23034,1983,1,11.6,Y
IDCJAC0001,23034,1983,2,2,Y
IDCJAC0001,23034,1983,3,112.2,Y
IDCJAC0001,23034,1983,4,80.4,Y
IDCJAC0001,23034,1983,5,45.4,Y
IDCJAC0001,23034,1983,6,26.8,Y
IDCJAC0001,23034,1983,7,89.4,Y
IDCJAC0001,23034,1983,8,77.6,Y
IDCJAC0001,23034,1983,9,61.2,Y
IDCJAC0001,23034,1983,10,48.8,Y
IDCJAC0001,23034,1983,11,8.2,Y
IDCJAC0001,23034,1983,12,12.6,Y
IDCJAC0001,23034,1984,1,17.8,Y
IDCJAC0001,23034,1984,2,2,Y
IDCJAC0001,23034,1984,3,23.6,Y
IDCJAC0001,23034,1984,4,20.4,Y
IDCJAC0001,23034,1984,5,39.6,Y
IDCJAC0001,23034,1984,6,31,Y
IDCJAC0001,23034,1984,7,67.2,Y
IDCJAC0001,23034,1984,8,79.8,Y
IDCJAC0001,23034,1984,9,46.4,Y
IDCJAC0001,23034,1984,10,22,Y
IDCJAC0001,23034,1984,11,34.6,Y
IDCJAC0001,23034,1984,12,5.4,Y
IDCJAC0001,23034,1985,1,1.2,Y
IDCJAC0001,23034,1985,2,2,Y
IDCJAC0001,23034,1985,3,39.4,Y
IDCJAC0001,23034,1985,4,28.4,Y
IDCJAC0001,23034,1985,5,58.4,Y
IDCJAC0001,23034,1985,6,37,Y
IDCJAC0001,23034,1985,7,34.4,Y
IDCJAC0001,23034,1985,8,62.8,Y
IDCJAC0001,23034,1985,9,37.4,Y
IDCJAC0001,23034,1985,10,37.8,Y
IDCJAC0001,23034,1985,11,9.6,Y
IDCJAC0001,23034,1985,12,30.4,Y
IDCJAC0001,23034,1986,1,11.2,Y
IDCJAC0001,23034,1986,2,0.6,Y
IDCJAC0001,23034,1986,3,0.2,Y
IDCJAC0001,23034,1986,4,42.6,Y
IDCJAC0001,23034,1986,5,44.2,Y
IDCJAC0001,23034,1986,6,35.2,Y
IDCJAC0001,23034,1986,7,116.4,Y
IDCJAC0001,23034,1986,8,85.2,Y
IDCJAC0001,23034,1986,9,51.2,Y
IDCJAC0001,23034,1986,10,50.8,Y
IDCJAC0001,23034,1986,11,15,Y
IDCJAC0001,23034,1986,12,28,Y
IDCJAC0001,23034,1987,1,19.6,Y
IDCJAC0001,23034,1987,2,40.8,Y
IDCJAC0001,23034,1987,3,25,Y
IDCJAC0001,23034,1987,4,16.2,Y
IDCJAC0001,23034,1987,5,110,Y
IDCJAC0001,23034,1987,6,68.6,Y
IDCJAC0001,23034,1987,7,112.2,Y
IDCJAC0001,23034,1987,8,23.2,Y
IDCJAC0001,23034,1987,9,15,Y
IDCJAC0001,23034,1987,10,42,Y
IDCJAC0001,23034,1987,11,2.8,Y
IDCJAC0001,23034,1987,12,35,Y
IDCJAC0001,23034,1988,1,24.6,Y
IDCJAC0001,23034,1988,2,12,Y
IDCJAC0001,23034,1988,3,23.8,Y
IDCJAC0001,23034,1988,4,12,Y
IDCJAC0001,23034,1988,5,68.4,Y
IDCJAC0001,23034,1988,6,81.6,Y
IDCJAC0001,23034,1988,7,55.6,Y
IDCJAC0001,23034,1988,8,33,Y
IDCJAC0001,23034,1988,9,46,Y
IDCJAC0001,23034,1988,10,10.8,Y
IDCJAC0001,23034,1988,11,26.2,Y
IDCJAC0001,23034,1988,12,47.6,Y
IDCJAC0001,23034,1989,1,2.4,Y
IDCJAC0001,23034,1989,2,1.8,Y
IDCJAC0001,23034,1989,3,1.8,Y
IDCJAC0001,23034,1989,4,30.4,Y
IDCJAC0001,23034,1989,5,87.2,Y
IDCJAC0001,23034,1989,6,65,Y
IDCJAC0001,23034,1989,7,69.8,Y
IDCJAC0001,23034,1989,8,49,Y
IDCJAC0001,23034,1989,9,36.2,Y
IDCJAC0001,23034,1989,10,29.4,Y
IDCJAC0001,23034,1989,11,21.2,Y
IDCJAC0001,23034,1989,12,9.2,Y
IDCJAC0001,23034,1990,1,10.4,Y
IDCJAC0001,23034,1990,2,8.2,Y
IDCJAC0001,23034,1990,3,1.2,Y
IDCJAC0001,23034,1990,4,7.8,Y
IDCJAC0001,23034,1990,5,8.8,Y
IDCJAC0001,23034,1990,6,69.8,Y
IDCJAC0001,23034,1990,7,89.8,Y
IDCJAC0001,23034,1990,8,66.4,Y
IDCJAC0001,23034,1990,9,38.4,Y
IDCJAC0001,23034,1990,10,28.4,Y
IDCJAC0001,23034,1990,11,5.6,Y
IDCJAC0001,23034,1990,12,40.4,Y
IDCJAC0001,23034,1991,1,23,Y
IDCJAC0001,23034,1991,2,0,Y
IDCJAC0001,23034,1991,3,4.4,Y
IDCJAC0001,23034,1991,4,28,Y
IDCJAC0001,23034,1991,5,13,Y
IDCJAC0001,23034,1991,6,95.6,Y
IDCJAC0001,23034,1991,7,68.2,Y
IDCJAC0001,23034,1991,8,59.4,Y
IDCJAC0001,23034,1991,9,69,Y
IDCJAC0001,23034,1991,10,6.8,Y
IDCJAC0001,23034,1991,11,24.6,Y
IDCJAC0001,23034,1991,12,5.6,Y
IDCJAC0001,23034,1992,1,0.6,Y
IDCJAC0001,23034,1992,2,12.2,Y
IDCJAC0001,23034,1992,3,63,Y
IDCJAC0001,23034,1992,4,38.8,Y
IDCJAC0001,23034,1992,5,67.6,Y
IDCJAC0001,23034,1992,6,57.2,Y
IDCJAC0001,23034,1992,7,42.8,Y
IDCJAC0001,23034,1992,8,103.8,Y
IDCJAC0001,23034,1992,9,113.6,Y
IDCJAC0001,23034,1992,10,74.8,Y
IDCJAC0001,23034,1992,11,66,Y
IDCJAC0001,23034,1992,12,90.4,Y
IDCJAC0001,23034,1993,1,31.2,Y
IDCJAC0001,23034,1993,2,14.8,Y
IDCJAC0001,23034,1993,3,18.4,Y
IDCJAC0001,23034,1993,4,0.8,Y
IDCJAC0001,23034,1993,5,40.2,Y
IDCJAC0001,23034,1993,6,35.2,Y
IDCJAC0001,23034,1993,7,54.2,Y
IDCJAC0001,23034,1993,8,43.8,Y
IDCJAC0001,23034,1993,9,60.4,Y
IDCJAC0001,23034,1993,10,77.2,Y
IDCJAC0001,23034,1993,11,23.6,Y
IDCJAC0001,23034,1993,12,89.8,Y
IDCJAC0001,23034,1994,1,28.6,Y
IDCJAC0001,23034,1994,2,18.4,Y
IDCJAC0001,23034,1994,3,0,Y
IDCJAC0001,23034,1994,4,8.4,Y
IDCJAC0001,23034,1994,5,32.8,Y
IDCJAC0001,23034,1994,6,73.2,Y
IDCJAC0001,23034,1994,7,42.6,N
IDCJAC0001,23034,1994,8,14.6,Y
IDCJAC0001,23034,1994,9,21.4,Y
IDCJAC0001,23034,1994,10,49.8,Y
IDCJAC0001,23034,1994,11,27,Y
IDCJAC0001,23034,1994,12,9.8,Y
IDCJAC0001,23034,1995,1,15,Y
IDCJAC0001,23034,1995,2,25.2,Y
IDCJAC0001,23034,1995,3,15,Y
IDCJAC0001,23034,1995,4,57.2,Y
IDCJAC0001,23034,1995,5,61.2,Y
IDCJAC0001,23034,1995,6,47,Y
IDCJAC0001,23034,1995,7,103.2,Y
IDCJAC0001,23034,1995,8,26.6,Y
IDCJAC0001,23034,1995,9,36.4,Y
IDCJAC0001,23034,1995,10,19,Y
IDCJAC0001,23034,1995,11,6.8,Y
IDCJAC0001,23034,1995,12,7.8,Y
IDCJAC0001,23034,1996,1,41,Y
IDCJAC0001,23034,1996,2,19.6,Y
