Product code,Bureau of Meteorology station number,Year,Month, Temperature,Quality
IDCJAC0002,23034,1981,6,15.6,Y
IDCJAC0002,23034,1981,7,15,Y
IDCJAC0002,23034,1981,8,15,Y
IDCJAC0002,23034,1981,9,19.5,Y
IDCJAC0002,23034,1981,10,21.2,Y
IDCJAC0002,23034,1981,11,23.4,Y
IDCJAC0002,23034,1981,12,25.7,Y
IDCJAC0002,23034,1982,1,30.3,Y
IDCJAC0002,23034,1982,2,28.6,Y
IDCJAC0002,23034,1982,3,26.2,Y
IDCJAC0002,23034,1982,4,21.9,Y
IDCJAC0002,23034,1982,5,18.2,Y
IDCJAC0002,23034,1982,6,14.8,Y
IDCJAC0002,23034,1982,7,14.6,Y
IDCJAC0002,23034,1982,8,19.1,Y
IDCJAC0002,23034,1982,9,18.2,Y
IDCJAC0002,23034,1982,10,21,Y
IDCJAC0002,23034,1982,11,26.5,Y
IDCJAC0002,23034,1982,12,26.7,Y
IDCJAC0002,23034,1983,1,27.4,Y
IDCJAC0002,23034,1983,2,31,Y
IDCJAC0002,23034,1983,3,25.2,Y
IDCJAC0002,23034,1983,4,19.6,Y
IDCJAC0002,23034,1983,5,18,Y
IDCJAC0002,23034,1983,6,15.7,Y
IDCJAC0002,23034,1983,7,14.1,Y
IDCJAC0002,23034,1983,8,16.6,Y
IDCJAC0002,23034,1983,9,17.9,Y
IDCJAC0002,23034,1983,10,20.9,Y
IDCJAC0002,23034,1983,11,23.9,Y
IDCJAC0002,23034,1983,12,27.7,Y
IDCJAC0002,23034,1984,1,26.5,Y
IDCJAC0002,23034,1984,2,27.7,Y
IDCJAC0002,23034,1984,3,24.8,Y
IDCJAC0002,23034,1984,4,21.1,Y
IDCJAC0002,23034,1984,5,19.6,Y
IDCJAC0002,23034,1984,6,16.2,Y
IDCJAC0002,23034,1984,7,14,Y
IDCJAC0002,23034,1984,8,15.5,Y
IDCJAC0002,23034,1984,9,16,Y
IDCJAC0002,23034,1984,10,20.8,Y
IDCJAC0002,23034,1984,11,23.4,Y
IDCJAC0002,23034,1984,12,26.1,Y
IDCJAC0002,23034,1985,1,27.6,Y
IDCJAC0002,23034,1985,2,28,Y
IDCJAC0002,23034,1985,3,26.8,Y
IDCJAC0002,23034,1985,4,22.7,Y
IDCJAC0002,23034,1985,5,18.7,Y
IDCJAC0002,23034,1985,6,15.7,Y
IDCJAC0002,23034,1985,7,15.4,Y
IDCJAC0002,23034,1985,8,15.7,Y
IDCJAC0002,23034,1985,9,17.2,Y
IDCJAC0002,23034,1985,10,21.1,Y
IDCJAC0002,23034,1985,11,23.5,Y
IDCJAC0002,23034,1985,12,23.8,Y
IDCJAC0002,23034,1986,1,26.5,Y
IDCJAC0002,23034,1986,2,26.2,Y
IDCJAC0002,23034,1986,3,27.9,Y
IDCJAC0002,23034,1986,4,21.7,Y
IDCJAC0002,23034,1986,5,18.7,Y
IDCJAC0002,23034,1986,6,15.7,Y
IDCJAC0002,23034,1986,7,14,Y
IDCJAC0002,23034,1986,8,15.5,Y
IDCJAC0002,23034,1986,9,17.2,Y
IDCJAC0002,23034,1986,10,19.2,Y
IDCJAC0002,23034,1986,11,23.7,Y
IDCJAC0002,23034,1986,12,24.1,Y
IDCJAC0002,23034,1987,1,24.6,Y
IDCJAC0002,23034,1987,2,27.5,Y
IDCJAC0002,23034,1987,3,23.4,Y
IDCJAC0002,23034,1987,4,22.8,Y
IDCJAC0002,23034,1987,5,18.3,Y
IDCJAC0002,23034,1987,6,16.1,Y
IDCJAC0002,23034,1987,7,14.3,Y
IDCJAC0002,23034,1987,8,15.1,Y
IDCJAC0002,23034,1987,9,18.5,Y
IDCJAC0002,23034,1987,10,20.6,Y
IDCJAC0002,23034,1987,11,24,Y
IDCJAC0002,23034,1987,12,26,Y
IDCJAC0002,23034,1988,1,28.1,Y
IDCJAC0002,23034,1988,2,25.8,Y
IDCJAC0002,23034,1988,3,26.6,Y
IDCJAC0002,23034,1988,4,22.4,Y
IDCJAC0002,23034,1988,5,19.6,Y
IDCJAC0002,23034,1988,6,16.2,Y
IDCJAC0002,23034,1988,7,15.4,Y
IDCJAC0002,23034,1988,8,16.5,Y
IDCJAC0002,23034,1988,9,20,Y
IDCJAC0002,23034,1988,10,22.6,Y
IDCJAC0002,23034,1988,11,22.5,Y
IDCJAC0002,23034,1988,12,26.9,Y
IDCJAC0002,23034,1989,1,27.3,Y
IDCJAC0002,23034,1989,2,28.9,Y
IDCJAC0002,23034,1989,3,26.7,Y
IDCJAC0002,23034,1989,4,22.2,Y
IDCJAC0002,23034,1989,5,18.4,Y
IDCJAC0002,23034,1989,6,14.1,Y
IDCJAC0002,23034,1989,7,13.8,Y
IDCJAC0002,23034,1989,8,14.1,Y
IDCJAC0002,23034,1989,9,18.2,Y
IDCJAC0002,23034,1989,10,19.7,Y
IDCJAC0002,23034,1989,11,24.7,Y
IDCJAC0002,23034,1989,12,26.6,Y
IDCJAC0002,23034,1990,1,28,Y
IDCJAC0002,23034,1990,2,26.1,Y
IDCJAC0002,23034,1990,3,27,Y
IDCJAC0002,23034,1990,4,22.4,Y
IDCJAC0002,23034,1990,5,19.6,Y
IDCJAC0002,23034,1990,6,16.2,Y
IDCJAC0002,23034,1990,7,15,Y
IDCJAC0002,23034,1990,8,14.5,Y
IDCJAC0002,23034,1990,9,19.1,Y
IDCJAC0002,23034,1990,10,22.1,Y
IDCJAC0002,23034,1990,11,25.9,Y
IDCJAC0002,23034,1990,12,25,Y
IDCJAC0002,23034,1991,1,28.6,Y
IDCJAC0002,23034,1991,2,29.2,Y
IDCJAC0002,23034,1991,3,24.7,Y
IDCJAC0002,23034,1991,4,22.4,Y
IDCJAC0002,23034,1991,5,18.4,Y
IDCJAC0002,23034,1991,6,16.9,Y
IDCJAC0002,23034,1991,7,14.9,Y
IDCJAC0002,23034,1991,8,15.2,Y
IDCJAC0002,23034,1991,9,18.2,Y
IDCJAC0002,23034,1991,10,21.9,Y
IDCJAC0002,23034,1991,11,23.9,Y
IDCJAC0002,23034,1991,12,24.6,Y
IDCJAC0002,23034,1992,1,24.3,Y
IDCJAC0002,23034,1992,2,28.8,Y
IDCJAC0002,23034,1992,3,25.3,Y
IDCJAC0002,23034,1992,4,22.6,Y
IDCJAC0002,23034,1992,5,17.8,Y
IDCJAC0002,23034,1992,6,15.5,Y
IDCJAC0002,23034,1992,7,15.6,Y
IDCJAC0002,23034,1992,8,15.1,Y
IDCJAC0002,23034,1992,9,15.2,Y
IDCJAC0002,23034,1992,10,20.5,Y
IDCJAC0002,23034,1992,11,20.8,Y
IDCJAC0002,23034,1992,12,24.1,Y
IDCJAC0002,23034,1993,1,27.5,Y
IDCJAC0002,23034,1993,2,27.8,Y
IDCJAC0002,23034,1993,3,25.2,Y
IDCJAC0002,23034,1993,4,24.1,Y
IDCJAC0002,23034,1993,5,19.3,Y
IDCJAC0002,23034,1993,6,15.1,Y
IDCJAC0002,23034,1993,7,15.3,Y
IDCJAC0002,23034,1993,8,17.8,Y
IDCJAC0002,23034,1993,9,18.3,Y
IDCJAC0002,23034,1993,10,20.1,Y
IDCJAC0002,23034,1993,11,23.9,Y
IDCJAC0002,23034,1993,12,24.2,Y
IDCJAC0002,23034,1994,1,24.8,Y
IDCJAC0002,23034,1994,2,26.3,Y
IDCJAC0002,23034,1994,3,25.5,Y
IDCJAC0002,23034,1994,4,22.2,Y
IDCJAC0002,23034,1994,5,19.2,Y
IDCJAC0002,23034,1994,6,16.2,Y
IDCJAC0002,23034,1994,7,16.5,Y
IDCJAC0002,23034,1994,8,15.7,Y
IDCJAC0002,23034,1994,9,17.4,Y
IDCJAC0002,23034,1994,10,21.5,Y
IDCJAC0002,23034,1994,11,22.5,Y
IDCJAC0002,23034,1994,12,28.2,Y
